x_mm,z_mm,temperature_c
-47.3589,-37.4877,26.006
-47.3531,-32.4273,26.0113
-47.3097,-29.8724,26.0154
-47.4697,-24.8395,26.0267
-47.2457,-19.7116,26.0437
-47.446,-17.2635,26.0529
-47.7427,-12.3801,26.0726
-47.374,-7.48022,26.0926
-47.4949,-4.99228,26.0994
-47.654,  -23.5701E-03,26.1047
-47.3456,4.95725,26.1003
-47.2381,7.44379,26.0934
-47.6089,12.4267,26.0726
-47.5359,17.2661,26.053
-47.2048,19.73,26.0447
-47.0898,25.3055,26.0264
-47.6805,30.1832,26.0147
-47.7768,32.5871,26.011
-47.6778,37.4758,26.0059
-47.4708,42.4058,26.0032
-47.4432,44.9167,26.0025
44.9782,-47.4225,26.0006
42.459,-47.3677,26.0007
37.4849,-47.3534,26.0014
32.4429,-47.3389,26.0026
29.9121,-47.2813,26.0036
24.9381,-47.3386,26.0064
19.6701,-46.4989,26.0116
17.0605,-47.3766,26.0138
12.2664,-47.7034,26.0196
7.39155,-47.3766,26.0267
4.94553,-47.5082,26.0298
  -27.6284E-03,-47.6297,26.0345
-4.95491,-47.2676,26.0371
-7.42992,-47.1107,26.0369
-12.4209,-47.3242,26.0333
-17.6522,-46.2349,26.0298
-20.2749,-46.742,26.0245
-25.5703,-47.275,26.0159
-30.2713,-47.6089,26.0101
-32.6702,-47.7061,26.0079
-37.4728,-47.6739,26.0048
-42.4526,-47.5684,26.0029
-44.9549,-47.5186,26.0023
47.3969,44.9112,26.0005
47.3849,42.4016,26.0007
47.4173,37.4343,26.0012
47.3727,32.3905,26.002
47.3038,29.8698,26.0026
47.3402,24.9286,26.0041
46.4939,19.6682,26.0067
47.3775,17.0593,26.0075
47.703,12.2601,26.0095
47.3751,7.38713,26.0116
47.5144,4.9506,26.0123
47.6508,  -19.8623E-03,26.0128
47.2822,-4.95443,26.0125
47.1124,-7.43619,26.0119
47.325,-12.4267,26.0098
46.2532,-17.6574,26.0081
46.7551,-20.2773,26.0064
47.2865,-25.5622,26.004
47.6296,-30.2623,26.0025
47.7256,-32.6786,26.0019
47.6794,-37.4875,26.0011
47.5656,-42.4525,26.0007
47.5151,-44.9521,26.0005
-42.412,47.3956,26.003
-39.9318,47.3987,26.0038
-34.931,47.4096,26.0065
-29.7873,47.2954,26.0108
-27.2563,47.3935,26.0135
-24.702,47.4141,26.0167
-19.6276,47.2992,26.0238
-17.2052,47.5022,26.027
-12.2609,47.6407,26.0329
-7.36044,47.3606,26.0367
-4.95765,47.5242,26.037
  -45.0756E-03,47.5949,26.0347
4.99955,47.2086,26.0302
7.59656,47.0624,26.0268
12.745,47.5095,26.019
17.7092,47.6717,26.0126
20.1746,47.6782,26.0101
25.038,47.6824,26.0061
29.8888,47.7205,26.0035
32.3294,47.7069,26.0026
37.3033,47.5354,26.0014
42.3425,47.4012,26.0007
44.8859,47.4064,26.0006
-6.67575,14.8979,57.7482
-15.4833,-9.48097,67.5824
-13.6216,-11.29,66.8871
-15.0671,11.1619,56.6049
-6.49544,-14.714,59.9167
-1.99629,-13.9317,66.0999
-10.0234,-14.424,54.1671
5.45266,-10.8902,55.8388
-4.35347,-14.3464,64.3407
-10.7375,15.0219,51.3608
-15.9658,9.13053,65.574
8.15228,4.49737,71.2684
  -743.713E-03,14.7591,54.5023
9.60139,-3.09442,57.801
9.13012,2.24149,64.9711
8.41234,-4.86605,65.5541
10.0678,   298.534E-03,56.0045
4.09968,11.2033,64.1462
-3.08772,15.5957,50.8734
-17.6359,-11.2813,46.2482
-18.082,10.0095,48.9239
10.4272,-6.21055,47.8641
10.0304,5.50718,51.7766
-21.6078,-2.24009,47.3895
-20.9826,3.49855,49.6052
45.2836,-39.8858,26.0011
32.4919,-44.6944,26.0033
-44.9271,42.2676,26.0039
-44.7374,-32.4512,26.0144
-39.8723,-45.2798,26.0046
4.76627,44.4934,26.0451
44.5437,-4.64988,26.0187
42.1641,44.8035,26.0009
-32.3595,44.7857,26.0112
44.7656,32.3881,26.0026
-44.6731,4.72251,26.149
-4.65647,-44.5102,26.0557
-44.7202,-42.4888,26.0039
-44.6793,-37.4602,26.0075
-45.0152,-4.79161,26.1415
-45.4098,  -80.8065E-03,26.1406
-44.8253,18.9734,26.0636
-45.6004,32.743,26.0128
-45.3849,37.3787,26.0071
42.4758,-44.7118,26.0009
4.69707,-45.0804,26.0417
   1.01644E-03,-45.3622,26.0462
-20.6836,-43.9914,26.0352
-30.6905,-45.2517,26.0124
44.731,42.2934,26.0009
45.0836,4.69485,26.0172
44.0112,-20.6902,26.009
45.3484,-30.6712,26.003
45.381,-35.1213,26.0018
-42.348,44.7621,26.0038
-4.70226,45.1455,26.0514
  -167.058E-03,45.3074,26.047
32.1158,45.4624,26.0032
37.0061,45.1014,26.0017
37.4629,-44.6582,26.0017
-35.0827,-45.3254,26.0077
44.8155,37.3698,26.0015
45.4088,   10.7342E-03,26.0171
-37.3989,44.8132,26.0064
6.20014,-8.97834,64.3431
-11.692,-12.9165,62.2231
-12.3648,13.0651,56.8787
5.61626,9.03802,70.7744
-19.9045,5.59479,52.3967
-19.5177,-7.05797,51.4782
-9.60332,15.9885,47.8723
-5.09696,16.9544,47.5283
-8.54651,-16.3531,48.2542
-3.79986,-17.0143,45.8044
-1.43842,-16.3424,47.5874
11.1914,3.47042,48.4584
11.5742,-1.52652,48.6595
12.3791,1.63468,44.3956
11.5376,-4.65879,45.6606
-17.4318,12.125,44.7345
-15.4139,-13.0182,47.9994
5.29867,-13.2311,48.0803
6.19444,14.3445,41.7269
3.20052,16.7604,39.8861
-22.085,1.64774,45.5964
-42.4381,19.7507,26.0871
-19.7806,-40.9458,26.0652
40.9921,-19.8367,26.0164
20.4522,42.945,26.0175
20.714,-43.625,26.0155
-44.0734,-19.3682,26.0671
43.6073,20.6993,26.0095
-19.153,44.1861,26.0373
13.0659,-5.91102,38.8883
11.9425,6.5595,41.3525
7.75794,9.90917,50.8535
8.10461,-11.5248,44.4659
-12.0906,-16.4492,42.6932
13.7404,  -149.714E-03,39.5439
32.7617,-42.143,26.0044
-42.2109,-32.7087,26.0191
-32.6091,42.3485,26.0155
42.2955,32.5998,26.0036
-43.5453,33.0213,26.0156
-31.2589,-43.3891,26.0152
43.6337,-31.2504,26.0035
31.896,43.3799,26.0042
-12.3062,15.6235,45.3115
-18.9144,7.80831,52.1277
-20.5515,-9.24453,41.8227
10.9365,-10.2664,38.6301
8.87235,7.68984,52.796
43.0126,-37.427,26.0019
36.5242,42.7327,26.0024
-43.1986,37.1193,26.0093
-37.403,-42.9363,26.0081
-41.9671,-37.3022,26.0104
37.3372,-41.9082,26.0024
42.1555,37.2513,26.0021
-37.3317,42.1531,26.0092
-21.4311,-5.05585,45.749
-23.3959,  -78.1975E-03,40.8531
43.9772,-16.2462,26.0126
-44.898,-16.7579,26.0755
16.2094,-45.1994,26.019
45.2034,16.2042,26.0102
-16.6998,45.0747,26.0381
-16.2222,-43.9534,26.0466
-42.1349,-42.6834,26.0049
42.6779,-42.1273,26.0011
41.9799,42.2017,26.0012
-42.3562,42.0843,26.0052
6.81167,12.1485,46.4261
-11.483,18.144,37.8181
-10.5307,-18.8665,36.817
-2.05646,18.5008,40.0104
-15.4658,-16.3286,37.5451
-4.04659,43.3627,26.0699
43.047,3.9899,26.0248
-42.85,-4.14321,26.2112
4.01591,-43.033,26.0608
4.0174,41.994,26.073
41.9674,-3.81991,26.0304
-42.1513,3.97143,26.241
-3.83199,-41.8775,26.0903
3.07003,-15.7083,43.54
