x_mm,z_mm,temperature_c
-44.872,-19.231,30.03
-42.308,-19.231,30.65
-39.744,-19.231,30.86
-37.179,-19.231,30.98
-34.615,-19.231,31.1
-32.051,-19.231,31.22
-29.487,-19.231,31.34
-26.923,-19.231,31.46
-24.359,-19.231,31.58
-21.795,-19.231,31.7
-19.231,-19.231,31.83
-16.667,-19.231,31.95
-14.103,-19.231,32.07
-11.538,-19.231,32.19
-8.974,-19.231,32.31
-6.41,-19.231,32.43
-3.846,-19.231,32.55
-1.282,-19.231,32.67
1.282,-19.231,32.67
3.846,-19.231,32.55
6.41,-19.231,32.43
8.974,-19.231,32.31
11.538,-19.231,32.19
14.103,-19.231,32.07
16.667,-19.231,31.95
19.231,-19.231,31.83
21.795,-19.231,31.7
24.359,-19.231,31.58
26.923,-19.231,31.46
29.487,-19.231,31.34
32.051,-19.231,31.22
34.615,-19.231,31.1
37.179,-19.231,30.98
39.744,-19.231,30.86
42.308,-19.231,30.65
44.872,-19.231,30.03
47.436,-19.231,29.15
50,-19.231,28.22
-50,-16.667,29.92
-47.436,-16.667,31.55
-44.872,-16.667,33.11
-42.308,-16.667,34.21
-39.744,-16.667,34.58
-37.179,-16.667,34.79
-34.615,-16.667,35
-32.051,-16.667,35.22
-29.487,-16.667,35.43
-26.923,-16.667,35.64
-24.359,-16.667,35.86
-21.795,-16.667,36.07
-19.231,-16.667,36.28
-16.667,-16.667,36.5
-14.103,-16.667,36.71
-11.538,-16.667,36.92
-8.974,-16.667,37.14
-6.41,-16.667,37.35
-3.846,-16.667,37.56
-1.282,-16.667,37.77
1.282,-16.667,37.77
3.846,-16.667,37.56
6.41,-16.667,37.35
8.974,-16.667,37.14
11.538,-16.667,36.92
14.103,-16.667,36.71
16.667,-16.667,36.5
19.231,-16.667,36.28
21.795,-16.667,36.07
24.359,-16.667,35.86
26.923,-16.667,35.64
29.487,-16.667,35.43
32.051,-16.667,35.22
34.615,-16.667,35
37.179,-16.667,34.79
39.744,-16.667,34.58
42.308,-16.667,34.21
44.872,-16.667,33.11
47.436,-16.667,31.55
50,-16.667,29.92
-50,-14.103,32.37
-47.436,-14.103,35.04
-44.872,-14.103,37.57
-42.308,-14.103,39.35
-39.744,-14.103,39.96
-37.179,-14.103,40.3
-34.615,-14.103,40.65
-32.051,-14.103,41
-29.487,-14.103,41.35
-26.923,-14.103,41.69
-24.359,-14.103,42.04
-21.795,-14.103,42.39
-19.231,-14.103,42.73
-16.667,-14.103,43.08
-14.103,-14.103,43.43
-11.538,-14.103,43.77
-8.974,-14.103,44.12
-6.41,-14.103,44.47
-3.846,-14.103,44.82
-1.282,-14.103,45.16
1.282,-14.103,45.16
3.846,-14.103,44.82
6.41,-14.103,44.47
8.974,-14.103,44.12
11.538,-14.103,43.77
14.103,-14.103,43.43
16.667,-14.103,43.08
19.231,-14.103,42.73
21.795,-14.103,42.39
24.359,-14.103,42.04
26.923,-14.103,41.69
29.487,-14.103,41.35
32.051,-14.103,41
34.615,-14.103,40.65
37.179,-14.103,40.3
39.744,-14.103,39.96
42.308,-14.103,39.35
44.872,-14.103,37.57
47.436,-14.103,35.04
50,-14.103,32.37
-50,-11.538,35.56
-47.436,-11.538,39.56
-44.872,-11.538,43.36
-42.308,-11.538,46.04
-39.744,-11.538,46.94
-37.179,-11.538,47.46
-34.615,-11.538,47.98
-32.051,-11.538,48.51
-29.487,-11.538,49.03
-26.923,-11.538,49.55
-24.359,-11.538,50.07
-21.795,-11.538,50.59
-19.231,-11.538,51.11
-16.667,-11.538,51.63
-14.103,-11.538,52.15
-11.538,-11.538,52.67
-8.974,-11.538,53.19
-6.41,-11.538,53.71
-3.846,-11.538,54.23
-1.282,-11.538,54.76
1.282,-11.538,54.76
3.846,-11.538,54.23
6.41,-11.538,53.71
8.974,-11.538,53.19
11.538,-11.538,52.67
14.103,-11.538,52.15
16.667,-11.538,51.63
19.231,-11.538,51.11
21.795,-11.538,50.59
24.359,-11.538,50.07
26.923,-11.538,49.55
29.487,-11.538,49.03
32.051,-11.538,48.51
34.615,-11.538,47.98
37.179,-11.538,47.46
39.744,-11.538,46.94
42.308,-11.538,46.04
44.872,-11.538,43.36
47.436,-11.538,39.56
50,-11.538,35.56
-50,-8.974,39.23
-47.436,-8.974,44.77
-44.872,-8.974,50.01
-42.308,-8.974,53.73
-39.744,-8.974,54.98
-37.179,-8.974,55.7
-34.615,-8.974,56.42
