sample_index,acc_ch1,acc_ch2,acc_ch3
318,-0.179515,-0.239354,-0.239354
319,-0.179515,-0.209434,-0.209434
320,-0.149596,-0.179515,-0.179515
321,-0.149596,-0.209434,-0.209434
322,-0.179515,-0.209434,-0.209434
323,-0.179515,-0.239354,-0.239354
324,-0.209434,-0.239354,-0.239354
325,-0.209434,-0.239354,-0.269273
326,-0.209434,-0.269273,-0.239354
327,-0.209434,-0.269273,-0.239354
328,-0.209434,-0.239354,-0.239354
329,-0.209434,-0.269273,-0.239354
330,-0.209434,-0.239354,-0.239354
331,-0.209434,-0.239354,-0.239354
332,-0.209434,-0.239354,-0.239354
333,-0.209434,-0.239354,-0.239354
334,-0.209434,-0.239354,-0.239354
335,-0.209434,-0.269273,-0.269273
336,-0.239354,-0.269273,-0.269273
337,-0.239354,-0.269273,-0.269273
338,-0.209434,-0.269273,-0.269273
339,-0.209434,-0.239354,-0.239354
340,-0.179515,-0.239354,-0.239354
341,-0.179515,-0.239354,-0.239354
342,-0.179515,-0.209434,-0.209434
343,-0.179515,-0.209434,-0.209434
344,-0.179515,-0.239354,-0.239354
345,-0.179515,-0.239354,-0.239354
346,-0.179515,-0.239354,-0.239354
347,-0.179515,-0.239354,-0.239354
348,-0.179515,-0.239354,-0.239354
349,-0.179515,-0.239354,-0.239354
350,-0.179515,-0.239354,-0.239354
351,-0.179515,-0.209434,-0.209434
352,-0.149596,-0.179515,-0.179515
353,-0.149596,-0.209434,-0.209434
354,-0.179515,-0.209434,-0.209434
355,-0.179515,-0.239354,-0.239354
356,-0.209434,-0.239354,-0.239354
357,-0.209434,-0.239354,-0.239354
358,-0.209434,-0.269273,-0.239354
359,-0.209434,-0.239354,-0.239354
360,-0.209434,-0.239354,-0.239354
361,-0.209434,-0.269273,-0.239354
362,-0.209434,-0.269273,-0.239354
363,-0.209434,-0.239354,-0.239354
364,-0.209434,-0.239354,-0.239354
365,-0.209434,-0.239354,-0.239354
366,-0.209434,-0.239354,-0.239354
367,-0.209434,-0.269273,-0.269273
368,-0.239354,-0.299192,-0.269273
369,-0.209434,-0.269273,-0.269273
370,-0.209434,-0.269273,-0.269273
371,-0.209434,-0.269273,-0.239354
372,-0.179515,-0.239354,-0.239354
373,-0.179515,-0.239354,-0.239354
374,-0.179515,-0.209434,-0.239354
375,-0.179515,-0.209434,-0.209434
376,-0.179515,-0.209434,-0.209434
377,-0.179515,-0.209434,-0.209434
378,-0.179515,-0.239354,-0.239354
379,-0.179515,-0.239354,-0.239354
380,-0.179515,-0.239354,-0.239354
381,-0.179515,-0.239354,-0.239354
382,-0.179515,-0.239354,-0.239354
383,-0.179515,-0.209434,-0.209434
384,-0.149596,-0.209434,-0.179515
385,-0.149596,-0.209434,-0.209434
386,-0.179515,-0.209434,-0.209434
387,-0.179515,-0.239354,-0.239354
388,-0.209434,-0.239354,-0.239354
389,-0.209434,-0.239354,-0.239354
390,-0.209434,-0.239354,-0.239354
391,-0.209434,-0.239354,-0.239354
392,-0.209434,-0.239354,-0.239354
393,-0.209434,-0.239354,-0.239354
394,-0.209434,-0.239354,-0.239354
395,-0.209434,-0.239354,-0.239354
396,-0.209434,-0.239354,-0.239354
397,-0.209434,-0.239354,-0.239354
398,-0.209434,-0.239354,-0.239354
399,-0.209434,-0.269273,-0.269273
400,-0.239354,-0.299192,-0.269273
401,-0.239354,-0.269273,-0.269273
402,-0.209434,-0.269273,-0.269273
403,-0.209434,-0.239354,-0.239354
404,-0.179515,-0.239354,-0.239354
405,-0.179515,-0.239354,-0.209434
406,-0.179515,-0.209434,-0.209434
407,-0.179515,-0.209434,-0.209434
408,-0.179515,-0.239354,-0.239354
409,-0.179515,-0.239354,-0.239354
410,-0.179515,-0.239354,-0.239354
411,-0.179515,-0.239354,-0.239354
412,-0.179515,-0.239354,-0.239354
413,-0.179515,-0.239354,-0.239354
414,-0.179515,-0.239354,-0.239354
415,-0.179515,-0.209434,-0.209434
416,-0.149596,-0.179515,-0.179515
417,-0.149596,-0.209434,-0.209434
418,-0.179515,-0.209434,-0.209434
419,-0.179515,-0.239354,-0.209434
420,-0.209434,-0.239354,-0.239354
421,-0.209434,-0.239354,-0.239354
422,-0.209434,-0.269273,-0.239354
423,-0.209434,-0.239354,-0.269273
424,-0.209434,-0.239354,-0.239354
425,-0.209434,-0.269273,-0.239354
426,-0.209434,-0.239354,-0.239354
427,-0.209434,-0.239354,-0.239354
428,-0.209434,-0.239354,-0.239354
429,-0.209434,-0.239354,-0.239354
430,-0.209434,-0.239354,-0.239354
431,-0.209434,-0.269273,-0.269273
432,-0.239354,-0.269273,-0.269273
433,-0.239354,-0.269273,-0.269273
434,-0.209434,-0.269273,-0.269273
435,-0.209434,-0.269273,-0.239354
436,-0.179515,-0.239354,-0.239354
437,-0.179515,-0.209434,-0.209434
438,-0.179515,-0.239354,-0.209434
439,-0.179515,-0.239354,-0.209434
440,-0.179515,-0.239354,-0.239354
441,-0.179515,-0.239354,-0.209434
442,-0.179515,-0.239354,-0.209434
443,-0.179515,-0.239354,-0.209434
444,-0.179515,-0.239354,-0.239354
445,-0.179515,-0.239354,-0.239354
446,-0.179515,-0.239354,-0.239354
447,-0.179515,-0.209434,-0.209434
448,-0.149596,-0.209434,-0.179515
449,-0.149596,-0.209434,-0.209434
450,-0.179515,-0.209434,-0.209434
451,-0.179515,-0.239354,-0.239354
452,-0.209434,-0.239354,-0.239354
453,-0.209434,-0.239354,-0.239354
454,-0.209434,-0.239354,-0.239354
455,-0.209434,-0.239354,-0.239354
456,-0.209434,-0.239354,-0.239354
457,-0.209434,-0.239354,-0.239354
458,-0.209434,-0.239354,-0.239354
459,-0.209434,-0.239354,-0.239354
460,-0.209434,-0.239354,-0.239354
461,-0.209434,-0.239354,-0.239354
462,-0.209434,-0.239354,-0.239354
463,-0.209434,-0.269273,-0.269273
464,-0.239354,-0.299192,-0.269273
465,-0.239354,-0.269273,-0.269273
466,-0.209434,-0.269273,-0.269273
467,-0.209434,-0.239354,-0.239354
468,-0.179515,-0.239354,-0.239354
469,-0.179515,-0.209434,-0.209434
470,-0.179515,-0.239354,-0.209434
471,-0.179515,-0.239354,-0.209434
472,-0.179515,-0.239354,-0.209434
473,-0.179515,-0.209434,-0.209434
474,-0.179515,-0.239354,-0.239354
475,-0.179515,-0.239354,-0.239354
476,-0.179515,-0.239354,-0.239354
477,-0.179515,-0.239354,-0.239354
478,-0.179515,-0.239354,-0.239354
479,-0.179515,-0.209434,-0.209434
480,-0.149596,-0.209434,-0.179515
481,-0.149596,-0.209434,-0.209434
482,-0.179515,-0.209434,-0.209434
483,-0.179515,-0.239354,-0.239354
484,-0.209434,-0.239354,-0.239354
485,-0.209434,-0.239354,-0.239354
486,-0.209434,-0.269273,-0.239354
487,-0.209434,-0.239354,-0.239354
488,-0.209434,-0.239354,-0.239354
489,-0.209434,-0.239354,-0.239354
490,-0.209434,-0.239354,-0.239354
491,-0.209434,-0.239354,-0.239354
492,-0.209434,-0.239354,-0.239354
493,-0.209434,-0.239354,-0.239354
494,-0.209434,-0.239354,-0.239354
495,-0.209434,-0.269273,-0.269273
496,-0.239354,-0.299192,-0.269273
497,-0.239354,-0.269273,-0.269273
498,-0.209434,-0.269273,-0.269273
499,-0.209434,-0.239354,-0.239354
500,-0.179515,-0.239354,-0.239354
501,-0.179515,-0.239354,-0.209434
502,-0.179515,-0.239354,-0.209434
503,-0.179515,-0.239354,-0.209434
504,-0.179515,-0.209434,-0.239354
505,-0.179515,-0.209434,-0.209434
506,-0.179515,-0.239354,-0.239354
507,-0.179515,-0.239354,-0.239354
508,-0.179515,-0.239354,-0.239354
509,-0.179515,-0.239354,-0.239354
510,-0.179515,-0.239354,-0.239354
511,-0.179515,-0.209434,-0.209434
512,-0.149596,-0.209434,-0.209434
513,-0.149596,-0.209434,-0.209434
514,-0.179515,-0.209434,-0.209434
515,-0.179515,-0.239354,-0.239354
516,-0.209434,-0.239354,-0.239354
517,-0.209434,-0.269273,-0.239354
518,-0.209434,-0.239354,-0.239354
519,-0.209434,-0.269273,-0.239354
520,-0.209434,-0.269273,-0.239354
521,-0.209434,-0.239354,-0.239354
522,-0.209434,-0.239354,-0.239354
523,-0.209434,-0.239354,-0.239354
524,-0.209434,-0.239354,-0.239354
525,-0.209434,-0.239354,-0.239354
526,-0.209434,-0.239354,-0.239354
527,-0.209434,-0.269273,-0.269273
528,-0.239354,-0.299192,-0.269273
529,-0.239354,-0.269273,-0.269273
530,-0.209434,-0.269273,-0.269273
531,-0.209434,-0.239354,-0.239354
532,-0.179515,-0.239354,-0.239354
533,-0.179515,-0.239354,-0.209434
534,-0.179515,-0.239354,-0.209434
535,-0.179515,-0.239354,-0.209434
536,-0.179515,-0.239354,-0.239354
537,-0.179515,-0.239354,-0.239354
538,-0.179515,-0.239354,-0.239354
539,-0.179515,-0.239354,-0.239354
540,-0.179515,-0.239354,-0.239354
541,-0.179515,-0.239354,-0.239354
542,-0.179515,-0.239354,-0.239354
543,-0.179515,-0.209434,-0.209434
544,-0.149596,-0.209434,-0.179515
545,-0.149596,-0.209434,-0.209434
546,-0.179515,-0.209434,-0.209434
