sample_index,acc_ch1,acc_ch2,acc_ch3
51,-0.149596,-0.209434,-0.209434
52,-0.179515,-0.209434,-0.209434
53,-0.179515,-0.239354,-0.239354
54,-0.209434,-0.239354,-0.239354
55,-0.209434,-0.269273,-0.239354
56,-0.209434,-0.269273,-0.239354
57,-0.209434,-0.239354,-0.239354
58,-0.209434,-0.239354,-0.239354
59,-0.209434,-0.269273,-0.239354
60,-0.209434,-0.239354,-0.239354
61,-0.209434,-0.239354,-0.239354
62,-0.209434,-0.239354,-0.239354
63,-0.209434,-0.239354,-0.239354
64,-0.209434,-0.239354,-0.239354
65,-0.209434,-0.269273,-0.269273
66,-0.239354,-0.269273,-0.269273
67,-0.239354,-0.269273,-0.269273
68,-0.209434,-0.269273,-0.269273
69,-0.209434,-0.239354,-0.239354
70,-0.179515,-0.239354,-0.239354
71,-0.179515,-0.239354,-0.209434
72,-0.179515,-0.239354,-0.209434
73,-0.179515,-0.239354,-0.209434
74,-0.179515,-0.239354,-0.209434
75,-0.179515,-0.239354,-0.209434
76,-0.179515,-0.239354,-0.209434
77,-0.179515,-0.239354,-0.239354
78,-0.179515,-0.239354,-0.239354
79,-0.179515,-0.239354,-0.239354
80,-0.179515,-0.239354,-0.239354
81,-0.179515,-0.209434,-0.209434
82,-0.149596,-0.179515,-0.179515
83,-0.149596,-0.209434,-0.209434
84,-0.179515,-0.209434,-0.209434
85,-0.179515,-0.239354,-0.239354
86,-0.209434,-0.239354,-0.239354
87,-0.209434,-0.269273,-0.239354
88,-0.209434,-0.269273,-0.239354
89,-0.209434,-0.239354,-0.239354
90,-0.209434,-0.239354,-0.239354
91,-0.209434,-0.269273,-0.239354
92,-0.209434,-0.239354,-0.239354
93,-0.209434,-0.239354,-0.239354
94,-0.209434,-0.239354,-0.239354
95,-0.209434,-0.239354,-0.239354
96,-0.209434,-0.239354,-0.239354
97,-0.209434,-0.269273,-0.269273
98,-0.239354,-0.269273,-0.269273
99,-0.239354,-0.269273,-0.269273
100,-0.209434,-0.269273,-0.269273
101,-0.209434,-0.239354,-0.239354
102,-0.179515,-0.239354,-0.209434
103,-0.179515,-0.239354,-0.209434
104,-0.179515,-0.209434,-0.209434
105,-0.179515,-0.239354,-0.209434
106,-0.179515,-0.239354,-0.209434
107,-0.179515,-0.209434,-0.209434
108,-0.179515,-0.239354,-0.209434
109,-0.179515,-0.239354,-0.209434
110,-0.179515,-0.239354,-0.239354
111,-0.179515,-0.239354,-0.239354
112,-0.179515,-0.239354,-0.239354
113,-0.179515,-0.209434,-0.209434
114,-0.149596,-0.209434,-0.179515
115,-0.149596,-0.209434,-0.209434
116,-0.179515,-0.209434,-0.209434
117,-0.179515,-0.239354,-0.239354
118,-0.209434,-0.239354,-0.239354
119,-0.209434,-0.269273,-0.239354
120,-0.209434,-0.239354,-0.239354
121,-0.209434,-0.239354,-0.239354
122,-0.209434,-0.239354,-0.239354
123,-0.209434,-0.239354,-0.239354
124,-0.209434,-0.239354,-0.239354
125,-0.209434,-0.239354,-0.239354
126,-0.209434,-0.239354,-0.239354
127,-0.209434,-0.239354,-0.239354
128,-0.209434,-0.239354,-0.239354
129,-0.239354,-0.269273,-0.269273
130,-0.239354,-0.269273,-0.269273
131,-0.239354,-0.269273,-0.269273
132,-0.209434,-0.269273,-0.269273
133,-0.209434,-0.239354,-0.239354
134,-0.179515,-0.239354,-0.239354
135,-0.179515,-0.239354,-0.239354
136,-0.179515,-0.209434,-0.209434
137,-0.179515,-0.209434,-0.209434
138,-0.179515,-0.239354,-0.209434
139,-0.179515,-0.239354,-0.209434
140,-0.179515,-0.239354,-0.239354
141,-0.179515,-0.239354,-0.239354
142,-0.179515,-0.239354,-0.239354
143,-0.179515,-0.239354,-0.239354
144,-0.179515,-0.239354,-0.239354
145,-0.149596,-0.209434,-0.209434
146,-0.149596,-0.179515,-0.179515
147,-0.179515,-0.209434,-0.209434
148,-0.179515,-0.209434,-0.209434
149,-0.179515,-0.239354,-0.239354
150,-0.209434,-0.239354,-0.239354
151,-0.209434,-0.239354,-0.239354
152,-0.209434,-0.239354,-0.239354
153,-0.209434,-0.239354,-0.239354
154,-0.209434,-0.239354,-0.239354
155,-0.209434,-0.269273,-0.269273
156,-0.209434,-0.239354,-0.239354
157,-0.209434,-0.239354,-0.239354
158,-0.209434,-0.239354,-0.239354
159,-0.209434,-0.239354,-0.239354
160,-0.209434,-0.239354,-0.239354
161,-0.209434,-0.269273,-0.269273
162,-0.239354,-0.299192,-0.269273
163,-0.239354,-0.269273,-0.269273
164,-0.239354,-0.269273,-0.269273
165,-0.209434,-0.239354,-0.239354
166,-0.179515,-0.239354,-0.239354
167,-0.179515,-0.239354,-0.209434
168,-0.179515,-0.239354,-0.209434
169,-0.179515,-0.209434,-0.209434
170,-0.179515,-0.239354,-0.239354
171,-0.179515,-0.209434,-0.209434
172,-0.179515,-0.239354,-0.239354
173,-0.179515,-0.239354,-0.239354
174,-0.179515,-0.239354,-0.239354
175,-0.179515,-0.239354,-0.239354
176,-0.179515,-0.239354,-0.239354
177,-0.179515,-0.209434,-0.209434
178,-0.149596,-0.209434,-0.179515
179,-0.149596,-0.209434,-0.209434
180,-0.179515,-0.209434,-0.209434
181,-0.179515,-0.239354,-0.239354
182,-0.209434,-0.239354,-0.239354
183,-0.209434,-0.269273,-0.239354
184,-0.209434,-0.269273,-0.239354
185,-0.209434,-0.239354,-0.239354
186,-0.209434,-0.239354,-0.239354
187,-0.209434,-0.269273,-0.239354
188,-0.209434,-0.239354,-0.239354
189,-0.209434,-0.239354,-0.239354
