sample_index,acc_ch1,acc_ch2,acc_ch3
299,-0.179515,-0.209434,-0.209434
300,-0.179515,-0.209434,-0.209434
301,-0.179515,-0.209434,-0.209434
302,-0.179515,-0.209434,-0.209434
303,-0.179515,-0.209434,-0.209434
304,-0.179515,-0.239354,-0.209434
305,-0.179515,-0.239354,-0.239354
306,-0.179515,-0.239354,-0.239354
307,-0.179515,-0.239354,-0.239354
308,-0.179515,-0.209434,-0.209434
309,-0.149596,-0.179515,-0.179515
310,-0.149596,-0.179515,-0.179515
311,-0.149596,-0.209434,-0.209434
312,-0.179515,-0.209434,-0.209434
313,-0.209434,-0.239354,-0.239354
314,-0.209434,-0.239354,-0.269273
315,-0.209434,-0.269273,-0.239354
316,-0.209434,-0.269273,-0.239354
317,-0.209434,-0.239354,-0.239354
318,-0.209434,-0.269273,-0.239354
319,-0.209434,-0.269273,-0.239354
320,-0.209434,-0.239354,-0.239354
321,-0.209434,-0.239354,-0.239354
322,-0.209434,-0.239354,-0.239354
323,-0.209434,-0.239354,-0.239354
324,-0.209434,-0.269273,-0.239354
325,-0.239354,-0.299192,-0.299192
326,-0.239354,-0.299192,-0.299192
327,-0.239354,-0.269273,-0.269273
328,-0.209434,-0.269273,-0.269273
329,-0.209434,-0.239354,-0.239354
330,-0.179515,-0.239354,-0.209434
331,-0.179515,-0.209434,-0.209434
332,-0.179515,-0.209434,-0.209434
333,-0.179515,-0.209434,-0.209434
334,-0.179515,-0.209434,-0.209434
335,-0.179515,-0.209434,-0.209434
336,-0.179515,-0.239354,-0.209434
337,-0.179515,-0.239354,-0.239354
338,-0.179515,-0.239354,-0.239354
339,-0.179515,-0.239354,-0.239354
340,-0.179515,-0.209434,-0.209434
341,-0.149596,-0.179515,-0.179515
342,-0.149596,-0.179515,-0.179515
343,-0.149596,-0.209434,-0.209434
344,-0.179515,-0.209434,-0.209434
345,-0.209434,-0.239354,-0.239354
346,-0.209434,-0.269273,-0.239354
347,-0.209434,-0.269273,-0.269273
348,-0.209434,-0.269273,-0.269273
349,-0.209434,-0.269273,-0.239354
350,-0.209434,-0.269273,-0.239354
351,-0.209434,-0.269273,-0.239354
352,-0.209434,-0.239354,-0.239354
353,-0.209434,-0.239354,-0.239354
354,-0.209434,-0.239354,-0.239354
355,-0.209434,-0.239354,-0.239354
356,-0.209434,-0.269273,-0.239354
357,-0.239354,-0.299192,-0.269273
358,-0.239354,-0.299192,-0.269273
359,-0.239354,-0.269273,-0.269273
360,-0.209434,-0.269273,-0.269273
361,-0.209434,-0.239354,-0.239354
362,-0.179515,-0.209434,-0.209434
363,-0.179515,-0.209434,-0.209434
