x_mm,z_mm,temperature_c
-3.846,-26.923,26.316
-1.282,-26.923,26.298
1.282,-26.923,26.259
3.846,-26.923,26.238
6.41,-26.923,26.217
8.974,-26.923,26.195
11.538,-26.923,26.174
14.103,-26.923,26.152
16.667,-26.923,26.132
19.231,-26.923,26.112
21.795,-26.923,26.094
24.359,-26.923,26.077
26.923,-26.923,26.062
29.487,-26.923,26.048
32.051,-26.923,26.036
34.615,-26.923,26.027
37.179,-26.923,26.019
39.744,-26.923,26.013
42.308,-26.923,26.009
44.872,-26.923,26.006
47.436,-26.923,26.004
50.0,-26.923,26.003
-50.0,-24.359,26.495
-47.436,-24.359,26.502
-44.872,-24.359,26.523
-42.308,-24.359,26.553
-39.744,-24.359,26.589
-37.179,-24.359,26.626
-34.615,-24.359,26.659
-32.051,-24.359,26.687
-29.487,-24.359,26.708
-26.923,-24.359,26.725
-24.359,-24.359,26.735
-21.795,-24.359,26.74
-19.231,-24.359,26.74
-16.667,-24.359,26.736
-14.103,-24.359,26.727
-11.538,-24.359,26.715
-8.974,-24.359,26.7
-6.41,-24.359,26.681
-3.846,-24.359,26.658
-1.282,-24.359,26.633
1.282,-24.359,26.572
3.846,-24.359,26.538
6.41,-24.359,26.501
8.974,-24.359,26.462
11.538,-24.359,26.421
14.103,-24.359,26.379
16.667,-24.359,26.336
19.231,-24.359,26.294
21.795,-24.359,26.252
24.359,-24.359,26.212
26.923,-24.359,26.174
29.487,-24.359,26.14
32.051,-24.359,26.109
34.615,-24.359,26.082
37.179,-24.359,26.059
39.744,-24.359,26.041
42.308,-24.359,26.028
44.872,-24.359,26.018
47.436,-24.359,26.013
50.0,-24.359,26.011
-50.0,-21.795,26.853
-47.436,-21.795,26.868
-44.872,-21.795,26.911
-42.308,-21.795,26.974
-39.744,-21.795,27.049
-37.179,-21.795,27.122
-34.615,-21.795,27.185
-32.051,-21.795,27.238
-29.487,-21.795,27.276
-26.923,-21.795,27.301
-24.359,-21.795,27.321
-21.795,-21.795,27.33
-19.231,-21.795,27.339
-16.667,-21.795,27.342
-14.103,-21.795,27.346
-11.538,-21.795,27.345
-8.974,-21.795,27.337
-6.41,-21.795,27.324
-3.846,-21.795,27.305
-1.282,-21.795,27.279
1.282,-21.795,27.207
3.846,-21.795,27.16
6.41,-21.795,27.107
8.974,-21.795,27.046
11.538,-21.795,26.979
14.103,-21.795,26.905
16.667,-21.795,26.827
19.231,-21.795,26.743
21.795,-21.795,26.657
24.359,-21.795,26.57
26.923,-21.795,26.483
29.487,-21.795,26.399
32.051,-21.795,26.32
34.615,-21.795,26.248
37.179,-21.795,26.184
39.744,-21.795,26.131
42.308,-21.795,26.089
44.872,-21.795,26.059
47.436,-21.795,26.041
50.0,-21.795,26.035
-50.0,-19.231,27.472
-47.436,-19.231,27.505
-44.872,-19.231,27.6
-42.308,-19.231,27.743
-39.744,-19.231,27.901
-37.179,-19.231,28.049
-34.615,-19.231,28.172
-32.051,-19.231,28.261
-29.487,-19.231,28.33
-26.923,-19.231,28.372
-24.359,-19.231,28.401
-21.795,-19.231,28.417
-19.231,-19.231,28.428
-16.667,-19.231,28.432
-14.103,-19.231,28.437
-11.538,-19.231,28.437
-8.974,-19.231,28.439
-6.41,-19.231,28.438
-3.846,-19.231,28.44
-1.282,-19.231,28.439
1.282,-19.231,28.402
3.846,-19.231,28.365
6.41,-19.231,28.312
8.974,-19.231,28.244
11.538,-19.231,28.158
14.103,-19.231,28.057
16.667,-19.231,27.936
19.231,-19.231,27.8
21.795,-19.231,27.647
24.359,-19.231,27.48
26.923,-19.231,27.301
29.487,-19.231,27.116
32.051,-19.231,26.928
34.615,-19.231,26.745
37.179,-19.231,26.572
39.744,-19.231,26.419
42.308,-19.231,26.29
44.872,-19.231,26.193
47.436,-19.231,26.132
50.0,-19.231,26.112
-50.0,-16.667,28.545
-47.436,-16.667,28.625
-44.872,-16.667,28.854
-42.308,-16.667,29.179
-39.744,-16.667,29.522
-37.179,-16.667,29.83
-34.615,-16.667,30.069
-32.051,-16.667,30.244
-29.487,-16.667,30.339
-26.923,-16.667,30.423
-24.359,-16.667,30.447
-21.795,-16.667,30.487
-19.231,-16.667,30.483
-16.667,-16.667,30.507
-14.103,-16.667,30.494
-11.538,-16.667,30.512
-8.974,-16.667,30.496
-6.41,-16.667,30.514
-3.846,-16.667,30.497
-1.282,-16.667,30.514
1.282,-16.667,30.514
3.846,-16.667,30.497
6.41,-16.667,30.514
8.974,-16.667,30.496
11.538,-16.667,30.46
14.103,-16.667,30.378
16.667,-16.667,30.272
19.231,-16.667,30.109
21.795,-16.667,29.917
24.359,-16.667,29.659
26.923,-16.667,29.369
29.487,-16.667,29.014
32.051,-16.667,28.634
34.615,-16.667,28.204
37.179,-16.667,27.778
39.744,-16.667,27.344
42.308,-16.667,26.963
44.872,-16.667,26.639
47.436,-16.667,26.434
50.0,-16.667,26.354
-50.0,-14.103,30.431
-47.436,-14.103,30.616
-44.872,-14.103,31.262
-42.308,-14.103,32.086
-39.744,-14.103,32.95
-37.179,-14.103,33.56
-34.615,-14.103,34.061
-32.051,-14.103,34.292
-29.487,-14.103,34.542
-26.923,-14.103,34.565
-24.359,-14.103,34.699
-21.795,-14.103,34.65
-19.231,-14.103,34.743
-16.667,-14.103,34.672
-14.103,-14.103,34.753
-11.538,-14.103,34.678
-8.974,-14.103,34.756
-6.41,-14.103,34.679
-3.846,-14.103,34.756
-1.282,-14.103,34.679
1.282,-14.103,34.679
3.846,-14.103,34.756
6.41,-14.103,34.679
8.974,-14.103,34.756
11.538,-14.103,34.679
14.103,-14.103,34.756
16.667,-14.103,34.679
19.231,-14.103,34.756
21.795,-14.103,34.641
24.359,-14.103,34.555
26.923,-14.103,34.208
29.487,-14.103,33.868
32.051,-14.103,33.201
34.615,-14.103,32.515
37.179,-14.103,31.48
39.744,-14.103,30.485
42.308,-14.103,29.26
44.872,-14.103,28.278
47.436,-14.103,27.403
50.0,-14.103,27.177
-50.0,-11.538,33.579
-47.436,-11.538,34.73
-44.872,-11.538,36.581
-42.308,-11.538,40.453
-39.744,-11.538,41.968
-37.179,-11.538,43.959
-34.615,-11.538,44.182
-32.051,-11.538,45.465
-29.487,-11.538,44.871
-26.923,-11.538,45.832
-24.359,-11.538,45.057
-21.795,-11.538,45.917
-19.231,-11.538,45.099
-16.667,-11.538,45.934
-14.103,-11.538,45.108
